id,brand,name,status,price,image1,image2,image3,image4,image5
dw1,Daniel Wellington,CLASSIC DOVER,,179,../img/watches/dw1.png,../img/watches/dw1-1.png,../img/watches/dw1-2.png,../img/watches/dw1-3.png,../img/watches/dw1-4.png
dw2,Daniel Wellington,CLASSIC CORNWALL,,199,../img/watches/dw2.png,../img/watches/dw2-1.png,../img/watches/dw2-2.png,../img/watches/dw2-3.png,../img/watches/dw2-4.png
dw3,Daniel Wellington,CLASSIC ROSELYN,,199,../img/watches/dw3.png,../img/watches/dw3-1.png,../img/watches/dw3-2.png,../img/watches/dw3-3.png,../img/watches/dw3-4.png
dw4,Daniel Wellington,CLASSIC BAYSWATER,,199,../img/watches/dw4.png,../img/watches/dw4-1.png,../img/watches/dw4-2.png,../img/watches/dw4-3.png,../img/watches/dw4-4.png
dw5,Daniel Wellington,CLASSIC CAMBRIDGE,,199,../img/watches/dw5.png,../img/watches/dw5-1.png,../img/watches/dw5-2.png,../img/watches/dw5-3.png,../img/watches/dw5-4.png
dw6,Daniel Wellington,CLASSIC GLASGOW,,199,../img/watches/dw6.png,../img/watches/dw6-1.png,../img/watches/dw6-2.png,../img/watches/dw6-3.png,../img/watches/dw6-4.png
dw7,Daniel Wellington,CLASSIC CANTERBURY,,199,../img/watches/dw7.png,../img/watches/dw7-1.png,../img/watches/dw7-2.png,../img/watches/dw7-3.png,../img/watches/dw7-4.png
dw8,Daniel Wellington,CLASSIC WARWICK,,199,../img/watches/dw8.png,../img/watches/dw8-1.png,../img/watches/dw8-2.png,../img/watches/dw8-3.png,../img/watches/dw8-4.png
movado1,movado,MOVADO BOLD EVOLUTION,,650,../img/watches/movado1.png,../img/watches/movado1.png,../img/watches/movado1-2.png,../img/watches/movado1-3.png,../img/watches/movado1-4.png
movado2,movado,MODERN 47,,695,../img/watches/movado2.png,../img/watches/movado2-1.png,../img/watches/movado2-2.png,../img/watches/movado2-3.png,../img/watches/movado2-4.png
movado3,movado,MOVADO FACE,,350,../img/watches/movado3.png,../img/watches/movado3-1.png,../img/watches/movado3-2.png,../img/watches/movado3-3.png,../img/watches/movado3-4.png
movado4,movado,MOVADO ULTRA SLIM,,895,../img/watches/movado4.png,../img/watches/movado4-1.png,../img/watches/movado4-2.png,../img/watches/movado4-3.png,../img/watches/movado4-4.png
movado5,movado,MOVADO BOLD VERSO,,595,../img/watches/movado5.png,../img/watches/movado5-1.png,../img/watches/movado5-2.png,../img/watches/movado5-3.png,../img/watches/movado5-4.png
movado6,movado,MUSEUM SPORT,,995,../img/watches/movado6.png,../img/watches/movado6-1.png,../img/watches/movado6-2.png,../img/watches/movado6-3.png,../img/watches/movado6-4.png
movado7,movado,SERIES 800,,1295,../img/watches/movado7.png,../img/watches/movado7-1.png,../img/watches/movado7-2.png,../img/watches/movado7-3.png,../img/watches/movado7-4.png
movado8,movado,MOVADO BOLD CERAMIC,,695,../img/watches/movado8.png,../img/watches/movado8-1.png,../img/watches/movado8-2.png,../img/watches/movado8-3.png,../img/watches/movado8-4.png
